,Centre_of_Interval,Mean_Correlation
0,1992-01-13,0.11584862290253742
1,1992-01-20,0.16145639019408187
2,1992-01-27,0.06570434781875599
3,1992-02-03,0.05113247191478002
4,1992-02-10,0.1080634984228576
5,1992-02-18,0.2028251128043802
6,1992-02-25,0.12963942303648335
7,1992-03-03,0.08082693356274168
8,1992-03-10,0.10104876849298304
9,1992-03-17,0.04899117769815504
10,1992-03-24,0.022605709033731748
11,1992-03-31,0.11320888627354114
12,1992-04-07,0.36494280538417484
13,1992-04-14,0.08798469148056685
14,1992-04-22,0.0726126835900418
15,1992-04-29,0.11390469712250981
16,1992-05-06,0.07005640732019665
17,1992-05-13,0.1532049161198626
18,1992-05-20,0.07585674946364125
19,1992-05-28,0.11698426128217725
20,1992-06-04,0.018912169394386138
21,1992-06-11,0.13223274756177394
22,1992-06-18,0.1793949210587845
23,1992-06-25,0.13791629109449968
24,1992-07-02,0.160705884167949
25,1992-07-10,0.05869720164665156
26,1992-07-17,0.056846340576784914
27,1992-07-24,0.15141672979773965
28,1992-07-31,0.09455396547854006
29,1992-08-07,0.012350094409082154
30,1992-08-14,0.02771670189798354
31,1992-08-21,0.11580384609313044
32,1992-08-28,0.032268460953446314
33,1992-09-04,0.08923146498603099
34,1992-09-14,0.28680579324504235
35,1992-09-21,0.12173097016336387
36,1992-09-28,0.14025666562143363
37,1992-10-05,0.1234678410860313
38,1992-10-12,0.20826453178620308
39,1992-10-19,0.042706640673012754
40,1992-10-26,0.05110313210937085
41,1992-11-02,0.12622615086448602
42,1992-11-09,0.03629592722281122
43,1992-11-16,0.1006029989175875
44,1992-11-23,0.07012991811588609
45,1992-12-01,0.04494159120996716
46,1992-12-08,0.09470698209509174
47,1992-12-15,0.10807906196243551
48,1992-12-22,0.06350869129813622
49,1992-12-30,0.026237617189424845
50,1993-01-07,0.096915948541011
51,1993-01-14,0.047575776693120644
52,1993-01-21,0.056693045823554486
53,1993-01-28,0.09487803746830112
54,1993-02-04,0.13221184062622443
55,1993-02-11,0.29461401222521016
56,1993-02-19,0.03715512618705712
57,1993-02-26,0.1100044979607044
58,1993-03-05,0.15412704072643632
59,1993-03-12,0.08882708734481565
60,1993-03-19,0.14439290573618763
61,1993-03-26,0.05361654040719237
62,1993-04-02,0.1812447353954274
63,1993-04-12,0.08677952678637121
64,1993-04-19,0.011712924199081898
65,1993-04-26,0.11775739425491563
66,1993-05-03,0.026234834859068027
67,1993-05-10,0.02659017502978491
68,1993-05-17,0.245929609462356
69,1993-05-24,0.12684479240818966
70,1993-06-01,0.08821280979819164
71,1993-06-08,0.061865428094187325
72,1993-06-15,0.016687994541614307
73,1993-06-22,0.10267181175798065
74,1993-06-29,0.08218103567895577
75,1993-07-07,0.15106378367677875
76,1993-07-14,0.05117012893042483
77,1993-07-21,0.06101798791268569
78,1993-07-28,0.06788619417553236
79,1993-08-04,0.016134868049746922
80,1993-08-11,0.055411234780836684
81,1993-08-18,0.029365155345014538
82,1993-08-25,0.08489395393152636
83,1993-09-01,0.05313285520106156
84,1993-09-09,0.19304827296158836
85,1993-09-16,0.055415012001308515
86,1993-09-23,0.14399481040065729
87,1993-09-30,0.01689176666670852
88,1993-10-07,0.016981129075292617
89,1993-10-14,0.039998616665060285
90,1993-10-21,0.027270673038080163
91,1993-10-28,0.03391948001769385
92,1993-11-04,0.19761520949028125
93,1993-11-11,0.06070017442461664
94,1993-11-18,0.09066015624718948
95,1993-11-26,0.050086899673067176
96,1993-12-03,0.01018198352088167
97,1993-12-10,0.021931058456296428
98,1993-12-17,0.0952225830553035
99,1993-12-27,0.012103961132907303
100,1994-01-03,0.039701791172196535
101,1994-01-10,0.0888679251924276
102,1994-01-17,0.03373573386271019
103,1994-01-24,0.056480825330336576
104,1994-01-31,0.05410078140025376
105,1994-02-07,0.30062551926400716
106,1994-02-14,0.05975061028520555
107,1994-02-22,0.20173110489249377
108,1994-03-01,0.0426100571128692
109,1994-03-08,0.0919817996205955
110,1994-03-15,0.020246695019025072
111,1994-03-22,0.12378103911842596
112,1994-03-29,0.13748991413431394
113,1994-04-06,0.4196995183972071
114,1994-04-13,0.07297556082460487
115,1994-04-20,0.15913002516670463
116,1994-04-28,0.13748805571830874
117,1994-05-05,0.14669697456875253
118,1994-05-12,0.1032826185670578
119,1994-05-19,0.1566438507485925
120,1994-05-26,0.019693053802524948
121,1994-06-03,0.030100675123891914
122,1994-06-10,0.06520916930336501
123,1994-06-17,0.10352615965056788
124,1994-06-24,0.24823781842464204
125,1994-07-01,0.08515311336845911
126,1994-07-11,0.038373060935630136
127,1994-07-18,0.15788260905574894
128,1994-07-25,0.01701698099386756
129,1994-08-01,0.10416401821777335
130,1994-08-08,0.07476995008665048
131,1994-08-15,0.10259005499651964
132,1994-08-22,0.1039310350832953
133,1994-08-29,0.12049537422563589
134,1994-09-06,0.10118921903222014
135,1994-09-13,0.24755186969469292
136,1994-09-20,0.13286015607119261
137,1994-09-27,0.07321139295800079
138,1994-10-04,0.20912791621435592
139,1994-10-11,0.12039059448401522
140,1994-10-18,0.07382811847146223
141,1994-10-25,0.11882136890651547
142,1994-11-01,0.2674291839053131
143,1994-11-08,0.10880415711159266
144,1994-11-15,0.14541723855754976
145,1994-11-22,0.23289781261337555
146,1994-11-30,0.1447700421093984
147,1994-12-07,0.1461571436291008
148,1994-12-14,0.05457894176415741
149,1994-12-21,0.01832050699412295
150,1994-12-29,0.06831730107282509
151,1995-01-06,0.015320280440278734
152,1995-01-13,0.054840842827161285
153,1995-01-20,0.03638879956298769
154,1995-01-27,0.04980394736666856
155,1995-02-03,0.12275116289111168
156,1995-02-10,0.013653581388515924
157,1995-02-17,0.087730585793321
158,1995-02-27,0.188462359782899
159,1995-03-06,0.09814227974779265
160,1995-03-13,0.13194541227888437
161,1995-03-20,0.05226350223896776
162,1995-03-27,0.07592986686810088
163,1995-04-03,0.03536023111637876
164,1995-04-10,0.021412108726241698
165,1995-04-18,0.06143125706308534
166,1995-04-25,0.06082043254354529
167,1995-05-02,0.06713266286081239
168,1995-05-09,0.029210034602473702
