,Centre_of_Interval,Mean_Correlation
0,1992-01-31,0.10085080209402983
1,1992-02-03,0.10250771370373145
2,1992-02-04,0.1085018947229605
3,1992-02-05,0.11035615334374767
4,1992-02-06,0.11034540205458498
5,1992-02-07,0.11340394759455948
6,1992-02-10,0.11615195824760255
7,1992-02-11,0.1174879134631597
8,1992-02-12,0.10877367359987697
9,1992-02-13,0.10850718834609578
10,1992-02-14,0.11615902791053467
11,1992-02-18,0.1185569030637514
12,1992-02-19,0.1173938246893744
13,1992-02-20,0.10948861459707715
14,1992-02-21,0.10082255296893546
15,1992-02-24,0.10024492925469158
16,1992-02-25,0.1003614053312318
17,1992-02-26,0.1007258816719046
18,1992-02-27,0.10975111259899409
19,1992-02-28,0.10565194234384129
20,1992-03-02,0.10581355768739084
21,1992-03-03,0.10529300451151097
22,1992-03-04,0.11104509979499216
23,1992-03-05,0.1059413022300707
24,1992-03-06,0.10891618004921602
25,1992-03-09,0.12858249602591817
26,1992-03-10,0.1379510342742796
27,1992-03-11,0.15486726550699415
28,1992-03-12,0.15913955182406594
29,1992-03-13,0.15413324078916504
30,1992-03-16,0.16362479254949758
31,1992-03-17,0.1657802495542421
32,1992-03-18,0.16223613844665674
33,1992-03-19,0.1693374776567592
34,1992-03-20,0.16016224761933423
35,1992-03-23,0.1578183292778491
36,1992-03-24,0.15750080791303658
37,1992-03-25,0.15602288556536462
38,1992-03-26,0.14819153002976576
39,1992-03-27,0.14740885862579753
40,1992-03-30,0.15049043446090535
41,1992-03-31,0.15954937826614865
42,1992-04-01,0.16028868802402615
43,1992-04-02,0.16247551475539337
44,1992-04-03,0.15641003944119133
45,1992-04-06,0.15487623408899914
46,1992-04-07,0.1553997574414803
47,1992-04-08,0.15440793832542848
48,1992-04-09,0.15268683331178753
49,1992-04-10,0.15309415470974422
50,1992-04-13,0.15195777822006593
51,1992-04-14,0.15506016026366404
52,1992-04-15,0.1544612082265349
53,1992-04-16,0.15591884272675652
54,1992-04-20,0.15819718289086185
55,1992-04-21,0.15736784598262032
56,1992-04-22,0.15776896566421597
57,1992-04-23,0.15937950853930755
58,1992-04-24,0.16102525931012507
59,1992-04-27,0.16047227651716697
60,1992-04-28,0.1548763244365472
